City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
82,el-tor,28.2364,33.6254,23.08,73,75,7.2,EG,1714883084
83,shihezi,44.3,86.0333,26.34,12,43,1.69,CN,1714883085
84,siasi,5.5462,120.8145,27.87,70,48,1.68,PH,1714883085
85,quepos,9.4236,-84.1652,27.24,81,89,1.74,CR,1714883085
86,karratha,-20.7377,116.8463,31.18,15,0,6.3,AU,1714883085
87,tiksi,71.6872,128.8694,-2.46,87,100,2.07,RU,1714883085
88,longyearbyen,78.2186,15.6401,-4.09,74,75,1.54,SJ,1714882836
89,alice springs,-23.7,133.8833,20.75,23,65,5.14,AU,1714883085
90,thunder bay,48.4001,-89.3168,5.99,100,0,2.57,CA,1714883028
91,port lincoln,-34.7333,135.8667,17.31,63,0,4.12,AU,1714883086
92,busselton,-33.65,115.3333,19.6,59,29,6.44,AU,1714883086
93,tazovsky,67.4667,78.7,-5.63,89,100,7.94,RU,1714883086
94,kavieng,-2.5744,150.7967,29.1,77,88,2.71,PG,1714883086
95,vikhorevka,56.1201,101.1636,18.77,39,70,3.02,RU,1714883086
96,lompoc,34.6391,-120.4579,12.66,88,100,3.58,US,1714883014
97,papatowai,-46.5619,169.4708,10.71,71,77,5.82,NZ,1714883086
98,balao,-2.9167,-79.8167,25.03,85,97,1.7,EC,1714883087
99,bemidji,47.4736,-94.8803,7.72,90,0,1.54,US,1714882798
100,constantia,44.1833,28.65,10.39,75,0,3.88,RO,1714883018
101,fortuna,40.5982,-124.1573,7.74,93,100,0.0,US,1714883087
102,cootamundra,-34.65,148.0333,18.86,50,100,5.51,AU,1714883087
103,beyneu,45.3167,55.2,13.65,32,72,4.09,KZ,1714883087
104,saint-pierre,-21.3393,55.4781,23.82,64,20,5.66,RE,1714883087
105,bataipora,-22.2953,-53.2711,23.21,54,4,2.47,BR,1714883088
106,perevolotskiy,51.8763,54.1938,5.02,53,14,2.08,RU,1714883088
107,nogliki,51.8333,143.1667,4.08,51,100,3.58,RU,1714883088
108,saint-philippe,-21.3585,55.7679,23.77,75,80,6.17,RE,1714883088
109,kununurra,-15.7667,128.7333,31.99,35,91,4.63,AU,1714882997
110,fort leonard wood,37.7057,-92.1572,16.41,78,100,3.6,US,1714883088
111,cabo san lucas,22.8909,-109.9124,24.23,72,100,5.72,MX,1714883088
112,kailua-kona,19.6406,-155.9956,27.98,78,40,9.26,US,1714883089
113,la passe,45.5549,-0.8967,12.13,97,100,3.67,FR,1714883089
114,puerto natales,-51.7236,-72.4875,-0.05,81,76,3.69,CL,1714883089
115,vimmerby,57.6659,15.8552,10.55,96,100,1.52,SE,1714883089
116,east london,-33.0153,27.9116,17.52,88,75,1.54,ZA,1714883089
117,lasem,-6.6922,111.4527,29.23,64,100,3.02,ID,1714883089
118,gidam,18.9833,81.4,36.85,35,10,2.76,IN,1714883089
119,whitehorse,60.7161,-135.0538,11.43,35,100,8.75,CA,1714883090
120,enewetak,11.3474,162.3373,27.67,79,52,7.59,MH,1714883090
121,woolgoolga,-30.1106,153.2007,20.93,79,44,3.39,AU,1714883090
122,margaret river,-33.95,115.0667,17.62,65,48,4.99,AU,1714883090
123,tura,25.5198,90.2201,32.72,40,0,3.65,IN,1714883090
124,fort mcmurray,56.7268,-111.381,8.77,57,0,3.6,CA,1714883090
125,lata,40.1629,-8.3327,15.04,96,96,2.43,PT,1714883090
126,kuala belait,4.5833,114.1833,30.09,65,84,3.72,BN,1714883091
127,lezhnevo,56.7751,40.8917,4.56,53,100,3.43,RU,1714883091
128,marks,51.7111,46.7486,7.31,54,5,3.44,RU,1714883091
129,saldanha,-33.0117,17.9442,13.03,94,82,3.43,ZA,1714883091
